week,n_days,mae,rmse,baseline_mae,actual_mean,pred_mean
2018-32,5,20.072126183046095,22.420931553680493,20.0,119.8,131.049175363374
2018-33,5,114.82166180251247,154.51937838655056,65.0,77.8,67.28045213931372
2018-34,5,30.02394239305472,45.38421006268847,28.0,99.8,128.37829813784577
2018-35,4,32.59135095713187,36.72608209577504,34.0,127.0,120.53864082726494
2018-36,4,22.208637986576566,23.667561400940713,29.75,122.75,124.92885975091681
2018-37,5,12.54082671017172,14.046096425814067,21.4,127.8,119.65995889333233
2018-38,4,4.978959864912447,6.263351011336449,16.5,122.25,125.6839646756988
2018-39,4,11.467083167338778,15.156368088551698,12.5,129.0,117.53291683266123
2018-40,5,17.480392424548636,21.363108674681637,24.4,142.6,125.11960757545134
2018-41,4,17.453672547143682,22.23899643442712,26.5,142.75,125.29632745285632
2018-42,5,26.767850145466333,29.417877996691463,16.0,153.6,126.83214985453367
2018-43,5,126.4545387083175,219.43647992218797,124.2,252.0,132.88784690710466
2018-44,5,54.21627177551344,58.464977623483634,48.2,168.2,140.51389314419305
2018-45,5,36.35064304617923,54.96314639609667,146.0,142.8,162.64880652576747
2018-46,5,24.65821629757977,28.558667642672656,38.0,134.0,138.30919332395337
2018-47,4,26.870521302684114,28.597328851227484,36.5,128.0,138.5538042192976
2018-48,5,24.95004455902041,28.000671942127195,34.2,155.0,135.4133762970045
2018-49,5,31.456682459456793,33.322368770291234,28.8,171.2,139.74331754054322
2018-50,5,19.02359786378263,26.501833257615953,26.6,151.8,144.32846801123733
2018-51,5,20.041770514118035,25.582164780328966,40.8,126.2,143.44904248132906
2018-52,4,22.863802947464333,25.521017042200363,26.25,117.25,137.23263680227598
2019-01,4,100.73168162319256,101.32137728080589,95.5,39.25,139.98168162319257
2019-02,2,43.866211239727484,50.8074817261357,44.5,157.5,131.8649515150991
2019-05,1,49.594502064347864,49.594502064347864,83.0,179.0,129.40549793565214
2019-06,5,21.47206129938201,27.117545135873318,73.4,117.8,131.38825475719392
2019-07,4,13.383960539644146,15.367398404090354,32.25,126.5,130.29533321509018
2019-08,5,20.25281184338919,22.222308886037013,26.2,125.0,134.03266224835482
2019-09,5,9.73875973372705,9.82694958723394,9.6,131.8,134.04822377410625
2019-10,5,23.24157146169704,27.80880312727026,31.2,157.8,134.96084953205428
2019-11,5,9.410017874549192,13.191130324281625,25.2,134.8,139.44170067164487
