week,n_days,mae,rmse,actual_mean,pred_mean
2018-31,5,40.96970892110271,54.91350200057494,159.6,119.58019566109837
2018-32,5,37.26474033313272,45.106285641887986,119.8,137.98603811343156
2018-33,5,40.85111722389384,42.87469264504885,77.8,112.13950799399899
2018-34,5,50.11405779529261,62.49925787210788,99.8,138.20898281314112
2018-35,5,48.96857771795,61.768625562862916,101.6,118.32036981422371
2018-36,5,41.260005693983736,56.20782489271107,98.2,113.18696713689994
2018-37,5,55.191983707140025,62.01227374843522,127.8,72.60801629285997
2018-38,4,11.670599927400229,13.490973323477606,122.25,111.14714715999511
2018-39,4,20.82850456800948,37.98583044228433,129.0,108.17149543199051
2018-40,5,16.86049885492965,21.17304608339668,142.6,144.0905914259326
2018-41,4,9.599375245144316,16.684179546560745,142.75,135.7343178540531
2018-42,5,27.53925906433716,34.038784797645924,153.6,126.06074093566285
2018-43,5,132.48789605657933,208.94502576716005,252.0,122.30976175800386
2018-44,5,228.07523528624006,237.25541086390794,168.2,396.27523528624016
2018-45,5,117.30240953447556,162.54513546531535,142.8,248.18367380704703
2018-46,5,49.61584225330141,76.21513927571547,134.0,168.3654005812151
2018-47,4,27.82056609793786,31.688955405977207,128.0,142.7569814848103
2018-48,5,41.23887401533328,52.46169286912195,155.0,152.3884602284674
2018-49,5,42.54907260159307,44.91266546806421,171.2,128.65092739840694
2018-50,5,27.15201040629723,37.022816534902425,151.8,151.9633062030677
2018-51,5,15.922923653796989,23.35941662093314,126.2,138.3636002952222
2018-52,4,86.59431261383642,121.13356689278322,117.25,201.52901988523962
2019-01,5,73.6761525074276,81.77807818892329,31.4,105.07615250742761
2019-02,5,83.83007213095199,90.21146217274861,63.0,60.97228403015271
2019-03,4,180.76971278126888,181.16891557938033,0.0,180.76971278126888
2019-04,5,13.367453201783102,16.31833744705498,0.0,13.367453201783102
2019-05,5,23.929669055188377,39.07085539793749,35.8,25.62707769471473
2019-06,5,63.717807490666964,65.52809448260909,117.8,181.51780749066694
2019-07,4,20.86024296233163,24.3509335551565,126.5,115.41898622529436
2019-08,5,15.656400276454097,17.503684494791155,125.0,126.52574846115469
